energy_production,nbr_on,nbr_off_primary,reserve_primary_up_on,reserve_primary_up_off,reserve_primary_down,nbr_off_secondary,reserve_secondary_up_on,reserve_secondary_up_off,reserve_secondary_down,Fonction_objectif
350.0,3.5,0.8666666666666667,0.0,78.0,26.0,0.5578947368421052,0.0,52.99999999999999,0.0,2629400.0
391.0,3.91,0.9555555555555556,0.0,86.0,27.999999999999996,0.5999999999999999,0.0,56.99999999999999,0.0,2629400.0
431.00000000000006,4.3100000000000005,1.1333333333333333,0.0,102.0,33.0,0.7052631578947368,0.0,67.0,0.0,2629400.0
429.00000000000006,4.290000000000001,1.1444444444444446,0.0,103.00000000000001,34.0,0.7157894736842105,0.0,68.0,0.0,2629400.0
404.00000000000006,4.040000000000001,1.3222222222222224,0.0,119.00000000000001,38.0,0.8105263157894737,0.0,77.0,0.0,2629400.0
383.00000000000006,3.830000000000001,1.4666666666666668,0.0,132.0,42.0,0.894736842105263,0.0,85.0,0.0,2629400.0
374.99999999999994,3.75,1.5222222222222221,0.0,137.0,44.0,0.9263157894736841,0.0,88.0,0.0,2629400.0
364.00000000000006,3.640000000000001,1.5999999999999999,0.0,144.0,46.0,0.9684210526315788,0.0,92.0,0.0,2629400.0
364.00000000000006,3.640000000000001,1.5999999999999999,0.0,144.0,46.0,0.9684210526315788,0.0,92.0,0.0,2629400.0
393.00000000000006,3.930000000000001,1.4000000000000001,0.0,126.00000000000001,40.0,0.8526315789473683,0.0,81.0,0.0,2629400.0
410.0,4.1000000000000005,1.2777777777777777,0.0,114.99999999999999,37.0,0.7894736842105263,0.0,75.0,0.0,2629400.0
417.0,4.170000000000001,1.2333333333333334,0.0,111.0,36.0,0.7578947368421053,0.0,72.0,0.0,2629400.0
428.0000000000001,4.280000000000001,1.1555555555555557,0.0,104.00000000000001,34.0,0.7157894736842105,0.0,68.0,0.0,2629400.0
421.0,4.21,1.011111111111111,0.0,91.0,30.0,0.631578947368421,0.0,60.0,0.0,2629400.0
363.0,3.63,0.9,0.0,81.0,27.0,0.5684210526315789,0.0,54.00000000000001,0.0,2629400.0
358.0,3.58,0.8777777777777779,0.0,79.00000000000001,26.0,0.5578947368421052,0.0,52.99999999999999,0.0,2629400.0
287.0,2.87,0.7333333333333334,0.0,66.0,22.0,0.4736842105263157,0.0,45.0,0.0,2629400.0
251.0,2.5100000000000002,0.37777777777777777,0.0,34.0,13.0,0.27368421052631575,0.0,26.0,0.0,2629400.0
226.0,2.26,0.3666666666666667,0.0,33.0,12.0,0.2631578947368421,0.0,25.0,0.0,2629400.0
182.0,1.82,0.3111111111111111,0.0,28.0,11.0,0.2421052631578947,0.0,23.0,0.0,2629400.0
166.0,1.66,0.3,0.0,27.0,11.0,0.23157894736842102,0.0,22.0,0.0,2629400.0
184.0,1.84,0.32222222222222224,0.0,29.000000000000004,11.0,0.2421052631578947,0.0,23.0,0.0,2629400.0
202.0,2.02,0.33333333333333337,0.0,30.000000000000004,12.0,0.2526315789473684,0.0,24.0,0.0,2629400.0
275.0,2.75,0.4111111111111111,0.0,37.0,13.999999999999998,0.2947368421052631,0.0,28.0,0.0,2629400.0
360.0,3.6,0.4888888888888889,0.0,44.0,16.0,0.3368421052631579,0.0,32.0,0.0,2629400.0
408.99999999999994,4.09,0.5333333333333333,0.0,48.0,17.0,0.36842105263157887,0.0,35.0,0.0,2629400.0
464.00000000000006,4.640000000000001,0.5888888888888889,0.0,53.0,19.0,0.4,0.0,38.0,0.0,2629400.0
510.0,5.1,0.6333333333333333,0.0,57.0,20.0,0.4210526315789473,0.0,40.0,0.0,2629400.0
589.0,5.890000000000001,0.7333333333333334,0.0,66.0,22.0,0.4736842105263157,0.0,45.0,0.0,2629400.0
587.0,5.870000000000001,0.7444444444444445,0.0,67.0,23.0,0.4842105263157894,0.0,46.0,0.0,2629400.0
575.9999999999999,5.76,0.8222222222222222,0.0,74.0,25.0,0.5263157894736842,0.0,50.0,0.0,2629400.0
569.9999999999999,5.7,0.8666666666666667,0.0,78.0,26.0,0.5473684210526315,0.0,52.0,0.0,2629400.0
