energy_generation,generation_reserve_up_primary_on,generation_reserve_down_primary,generation_reserve_up_secondary_on,generation_reserve_down_secondary,generation_reserve_up_tertiary1_on,generation_reserve_down_tertiary1
28717.171000508042,109.16674075750001,128.0,43.770000460800006,673.699996948,137.7000038637,0.0
28932.981996948,107.92674074800001,128.0,43.400000456,476.69999694800003,136.000003816,0.0
29899.171000508042,109.16674075750001,128.0,43.770000460800006,476.69999694800003,137.7000038637,0.0
32534.17100050804,107.92674074800001,128.0,43.400000456,476.69999694800003,136.000003816,0.0
33249.171000508046,107.92674074800001,128.0,43.400000456,476.69999694800003,136.000003816,0.0
30853.171000508042,107.92674074800001,128.0,43.400000456,719.699996948,136.000003816,0.0
26278.171000508042,106.68674073850002,128.0,43.0300004512,719.699996948,134.3000037683,0.0
23325.685256888,107.92674074800001,128.00000000000003,43.400000456,719.699996948,136.000003816,0.0
23325.685256888,107.92674074800001,128.0,43.400000456,719.699996948,136.000003816,0.0
23311.685256888,107.92674074800001,128.0,43.400000456,705.699996948,136.000003816,0.0
23311.685256888,107.92674074800001,128.0,43.400000456,705.699996948,136.000003816,0.0
23311.685256888,109.16674075750001,128.0,43.770000460800006,705.699996948,137.7000038637,0.0
23311.685256888,109.16674075750001,128.00000000000003,43.770000460800006,705.699996948,137.7000038637,0.0
23326.685256888,109.16674075750001,128.0,43.770000460800006,720.699996948,137.7000038637,0.0
23641.171000508042,109.16674075750001,128.0,43.770000460800006,720.699996948,137.7000038637,0.0
29626.52707560902,109.16674075750001,128.0,43.770000460800006,720.699996948,137.7000038637,0.0
33414.308000000005,109.16674075750001,128.0,43.770000460800006,720.699996948,137.7000038637,0.0
33414.308000000005,107.92674074800001,128.0,43.400000456,694.699996948,136.000003816,0.0
33414.308000000005,107.92674074800001,128.0,43.400000456,694.699996948,136.000003816,0.0
33414.308000000005,109.16674075750001,128.0,43.770000460800006,694.699996948,137.7000038637,0.0
33414.308000000005,109.16674075750001,128.0,43.770000460800006,694.699996948,137.7000038637,0.0
33414.308000000005,101.72674070050002,128.0,41.550000432000004,673.699996948,127.5000035775,0.0
30914.75221173004,101.72674070050002,128.0,41.550000432000004,673.699996948,127.5000035775,0.0
33414.308000000005,101.72674070050002,128.0,41.550000432000004,673.699996948,127.5000035775,0.0
32982.171000508046,101.72674070050002,128.0,41.550000432000004,673.699996948,127.5000035775,0.0
29271.06221179204,100.48674069100001,128.0,41.1800004272,476.69999694800003,125.8000035298,0.0
30013.75221173004,101.72674070050002,128.0,41.550000432000004,476.69999694800003,127.5000035775,0.0
33414.308000000005,100.48674069100001,128.0,41.1800004272,476.69999694800003,125.8000035298,0.0
33414.308000000005,100.48674069100001,128.0,41.1800004272,476.69999694800003,125.8000035298,0.0
33414.308000000005,100.48674069100001,128.0,41.1800004272,719.699996948,125.8000035298,0.0
28962.171010508002,99.24674068150001,128.0,40.8100004224,719.699996948,124.10000348209999,0.0
28328.282,100.48674069100001,128.0,41.1800004272,719.699996948,125.8000035298,0.0
24639.712599239258,100.48674069100001,128.0,41.1800004272,719.699996948,125.8000035298,0.0
23594.171000508042,100.48674069100001,128.0,41.1800004272,705.699996948,125.8000035298,0.0
24588.380101266437,100.48674069100001,128.0,41.1800004272,705.699996948,125.8000035298,0.0
26859.171000508042,101.72674070050002,128.0,41.550000432000004,705.699996948,127.5000035775,0.0
26850.171000508042,101.72674070050002,128.0,41.550000432000004,705.699996948,127.5000035775,0.0
27799.171000508042,101.72674070050002,128.0,41.550000432000004,720.699996948,127.5000035775,0.0
28456.282,101.72674070050002,128.0,41.550000432000004,720.699996948,127.5000035775,0.0
31836.171010508,101.72674070050002,128.0,41.550000432000004,720.699996948,127.5000035775,0.0
33414.308000000005,101.72674070050002,128.0,41.550000432000004,720.699996948,127.5000035775,0.0
33414.308000000005,100.48674069100001,128.0,41.1800004272,694.699996948,125.8000035298,0.0
33414.308000000005,100.48674069100001,128.0,41.1800004272,694.699996948,125.8000035298,0.0
33414.308000000005,101.72674070050002,128.0,41.550000432000004,694.699996948,127.5000035775,0.0
33414.308000000005,101.72674070050002,128.0,41.550000432000004,694.699996948,127.5000035775,0.0
31466.171010508,98.00674067200002,128.0,40.440000417600004,673.699996948,122.40000343439999,0.0
33414.308000000005,98.00674067200002,128.0,40.440000417600004,673.699996948,122.40000343439999,0.0
30128.171010508,98.00674067200002,128.0,40.440000417600004,673.699996948,122.40000343439999,0.0
30063.171010508,98.00674067200002,128.0,40.440000417600004,673.699996948,122.40000343439999,0.0
30489.171010508,96.76674066250001,128.0,40.0700004128,476.69999694800003,120.70000338669999,0.0
30566.171010508,98.00674067200002,128.0,40.440000417600004,476.69999694800003,122.40000343439999,0.0
33036.171010508006,96.76674066250001,128.0,40.0700004128,476.69999694800003,120.70000338669999,0.0
33414.308000000005,96.76674066250001,128.0,40.0700004128,476.69999694800003,120.70000338669999,0.0
33172.171000508046,96.76674066250001,128.0,40.0700004128,719.699996948,120.70000338669999,0.0
29047.981996948,96.76674066250001,128.0,40.0700004128,719.699996948,120.70000338669999,0.0
25556.171000508042,96.76674066250001,128.0,40.0700004128,719.699996948,120.70000338669999,0.0
25146.09672540511,96.76674066250001,128.0,40.0700004128,719.699996948,120.70000338669999,0.0
25355.171000508042,96.76674066250001,128.0,40.0700004128,705.699996948,120.70000338669999,0.0
26231.171000508042,96.76674066250001,128.0,40.0700004128,705.699996948,120.70000338669999,0.0
28216.171000508042,96.76674066250001,128.0,40.0700004128,705.699996948,120.70000338669999,0.0
28695.17100050804,96.76674066250001,128.0,40.0700004128,705.699996948,120.70000338669999,0.0
28880.171000508042,96.76674066250001,128.0,40.0700004128,720.699996948,120.70000338669999,0.0
28328.282,96.76674066250001,128.0,40.0700004128,720.699996948,120.70000338669999,0.0
31808.171010508,96.76674066250001,128.0,40.0700004128,720.699996948,120.70000338669999,0.0
33414.308000000005,96.76674066250001,128.0,40.0700004128,720.699996948,120.70000338669999,0.0
33414.308000000005,95.52674065300002,128.0,39.70000040800001,694.699996948,119.00000333899999,0.0
33414.308000000005,95.52674065300002,128.0,39.70000040800001,694.699996948,119.00000333899999,0.0
33414.308000000005,95.52674065300002,128.0,39.70000040800001,694.699996948,119.00000333899999,0.0
33414.308000000005,95.52674065300002,128.0,39.70000040800001,694.699996948,119.00000333899999,0.0
